name;description;detail;mentorUuid;thumbnailUrl
1금융 대기업 IT 개발자 출신의 1대1 맞춤 자소서;안녕하세요!저는 외국계반도체회사 & 국민은행 IT 개발자로 근무 후 현재는 스타트업에서 성장하고 있는 IT현직자 희스터입니다.;<div class="css-0 e1y4fmav1"><img alt="상세이미지-0" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/yi1yN1723374575.jpg?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-1" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/SUlLl1723374578.jpg?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-2" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/uYlH91723374581.jpg?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-3" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/Ip0RU1723374584.jpg?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-4" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/usMI71723374586.jpg?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-5" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/Y995a1723374589.jpg?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-6" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/fgTZE1723374593.jpg?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-7" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/ZrABc1723374595.jpg?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-8" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/JU7k91723374599.jpg?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"></div>;90691143-7dda-42e8-874e-33b826662685;https://d2v80xjmx68n4w.cloudfront.net/gigs/yuZg21722906539.jpg
N사 현직 IT 서비스 기획자의 자소서 멘토링;IT 서비스 기업은 업계 특성상 자기소개서 문항에서 업계에 대한 이해도 부족이 유난히 잘 드러나고, 그로 인해 서류 단계에서부터 탈락될 가능성이 높습니다. 풍부한 자기소개서 멘토링 경험을 가진 현직자 멘토링을 받아보세요.;<div class="css-0 e1y4fmav1"><img alt="상세이미지-0" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/E2ghT1653402352.png?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-1" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/A2Bqt1653402355.png?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"></div>;447aaba8-e6f2-44eb-bc10-dd78ac234938;https://d2v80xjmx68n4w.cloudfront.net/gigs/lWoW71720848276.jpg
대기업 IT 직무 자기소개서 멘토링;만족도 100%의 자기소개서 첨삭 전문가 그룹, '자기소개소'입니다. 지원자의 역량, 경험을 최대한으로 보여줄 수 있는 자기소개서를 함께 만들어 나가고 있습니다.;<div class="css-0 e1y4fmav1"><img alt="상세이미지-0" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/1J2H41682002165.png?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-1" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/CumaH1682002166.png?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-2" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/BHoNs1682002168.png?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"></div>;89e64528-fe69-4ec1-ae37-1747352800e6;https://d2v80xjmx68n4w.cloudfront.net/gigs/JAAe81682002189.jpg
금융IT 현직자 자소서 첨삭 - 핵심 KEYWORD;현직 금융권 대기업 IT 과장의 실 합격 자소서 및 실무컨셉 멘토링;<div class="css-0 e1y4fmav1"><img alt="상세이미지-0" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/Vv1BX1689587745.JPG?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-1" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/nvWk51689587751.JPG?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-2" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/xsbjF1689674335.jpg?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-3" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/aOApA1689674335.jpg?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-4" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/0xs7o1689674335.jpg?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-5" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/3IJID1689674335.jpg?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-6" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/tWLu21689674336.jpg?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-7" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/Uu6Wc1689674358.jpg?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"></div>;67e846f6-79c9-4b4e-9df7-a8ef1859cf0f;https://d2v80xjmx68n4w.cloudfront.net/gigs/oUpeW1691070826.jpg
현직 대학 취업 멘토 / 합격 문자 받읍시다 - 자소서; “해외 통역사 인턴/국내 대기업 취업/외국계 대기업 취업”을 한 노하우 공유;<div class="css-0 e1y4fmav1"><img alt="상세이미지-0" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/Z596U1726393419.png?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-1" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/EKZf31726393423.png?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-2" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/lzVXO1726393427.png?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-3" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/0DAnt1726393431.png?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-4" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/gaK4E1726393434.png?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-5" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/Ez3yF1726393436.png?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-6" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/1yGAj1726393441.png?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-7" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/58WHV1726393443.png?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-8" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/HvQcm1726393446.png?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"></div>;c4986d52-d021-43a4-83ed-9af13b61896f;https://d2v80xjmx68n4w.cloudfront.net/gigs/SpQYr1726393359.jpg
마케팅 직무 이력서 및 자기소개서 멘토링 전문;안녕하세요, 마케팅 에이전시에서 근무했던 마케터 입니다. 대외활동, 공모전 및 실무 경험을 살려 그동안의 경험이 더 돋보일 수 있게 도와드리겠습니다!;<div class="css-0 e1y4fmav1"><img alt="상세이미지-0" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/GRDKc1731570679.png?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-1" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/oGZ191731570681.png?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-2" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/q4hcX1731570685.png?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-3" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/iePIt1731570688.png?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"></div>;86d56195-d2fc-417b-b588-aaf9e8ccebf9;https://d2v80xjmx68n4w.cloudfront.net/gigs/8n1rm1719795694.jpg
문과출신 대기업 현직자가 합격 자소서 멘토링 해드립니다.;현직 대기업 PM 직무로 근무하고 있습니다. 문과생으로 해냈던 취업 성공 경험을 바탕으로 컨설팅 서비스를 제공드립니다.;<div class="css-0 e1y4fmav1"><img alt="상세이미지-0" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/nkXXy1730043451.PNG?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-1" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/uE92c1730043471.PNG?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-2" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/nAfkR1730044428.png?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-3" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/mU1wU1730044439.PNG?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-4" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/Invb71730044439.PNG?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-5" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/L7ZBj1730471584.PNG?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-6" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/l1Oyj1730471585.PNG?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"></div>;86500ead-721c-4e92-a7a6-fe09dfcfb890;https://d2v80xjmx68n4w.cloudfront.net/gigs/105fb1730043442.jpg
자소서 첨삭, 당신의 이야기로 합격시켜 드립니다.;입시 취업 컨설팅 <합격하소서> CEO;<div class="css-0 e1y4fmav1"><img alt="상세이미지-0" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/rTJxY1594477907.png?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-1" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/BB9hu1594477907.png?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-2" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/qt2Dq1594477907.png?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-3" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/OGUGl1594477907.png?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-4" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/hEHWe1594477908.png?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-5" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/U3SmB1594477908.png?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-6" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/wuor81594477908.png?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-7" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/MAmIM1594477908.png?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-8" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/r4obE1594477909.png?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"></div>;38a5a845-a96d-4bba-85cf-0648cd77f8e4;https://d2v80xjmx68n4w.cloudfront.net/gigs/2mLUj1594831074.jpg
광고, 방송미디어, 콘텐츠, 엔터업계 전문 자소서 첨삭;브랜드/디지털/콘텐츠/미디어/퍼포먼스/CRM/그로스마케팅 경험 보유;<div class="css-0 e1y4fmav1"><img alt="상세이미지-0" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/y4k6N1731255361.jpg?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-1" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/GE06p1731255575.jpg?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-2" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/wCbYH1731255581.jpg?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-3" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/eYbvJ1731255588.jpg?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-4" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/oM9OJ1731255595.jpg?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-5" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/oBJoo1731255602.png?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-6" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/wkaDu1731255607.png?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-7" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/w1oVp1732807739.jpg?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"><img alt="상세이미지-8" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/neMbm1732807750.jpg?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"></div>;0d1e00f2-1d6f-4f98-bda5-58624f2a2876;https://d2v80xjmx68n4w.cloudfront.net/gigs/klgdy1731247775.jpg
현직 9년차 교육기업 마케터 자소서 멘토링;안녕하세요! 광고대행사 및 인하우스를 거쳐 교육기업에 재직 중인 9년차 마케터입니다. 이직을 많이 한 경험이 있는 만큼 누구보다 많은 이력서와 면접을 보며 노하우를 쌓았습니다, 이제 그 노하우를 취업, 이직을 희망하는 모든 마케터 분들께 전수하고 싶습니다!;<div class="css-0 e1y4fmav1"><img alt="상세이미지-0" src="https://d2v80xjmx68n4w.cloudfront.net/gigs/xCVWt1725690428.png?w=715" width="715" loading="lazy" class="css-4l2ynl e1y4fmav2"></div>;ce382813-a44e-4371-8ce0-30c54eeef61e;https://d2v80xjmx68n4w.cloudfront.net/gigs/yPbLe1725515013.jpg
